"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",11051.543021707,-30,1.49062888522829,-20.1257337069552,4.39222226766705e-90,1.33598224715629e-85
"2",91.3070688615508,8.22905436161028,0.433455611333864,18.9847683279198,2.27939332191235e-80,3.4666153336304e-76
"3",7553.71568800725,11.620459855897,0.625166207771463,18.5877926724807,4.0344253575126e-77,4.09050386998202e-73
"4",563.891631176493,-6.88838928717402,0.377209250468198,-18.2614537650496,1.67764280487212e-74,1.27572152989488e-70
"5",129.019118279177,10.1076096702958,0.590479682326818,17.117624827439,1.09659181923045e-65,6.67100667310651e-62
"6",2117.90913490743,-4.83997259657191,0.28472441080603,-16.9987974788335,8.38217953778028e-65,4.24934591667772e-61
"7",81.5557515424578,9.66946543040934,0.596876140448035,16.2001205529025,5.03283166153861e-59,2.18690915212886e-55
"8",939.180829871637,-6.19218160762571,0.383437216398721,-16.1491408314072,1.15154445191144e-58,4.3783159492238e-55
"9",110.518472702572,10.3174147296358,0.645393220024098,15.9862459188067,1.59348831542676e-57,5.38545934337063e-54
"10",36.419865782161,-24.3891478959837,1.57676105389232,-15.4678781770882,5.71602528043526e-54,1.73864340954999e-50
"11",3126.31344250337,5.34370711508127,0.346553935244845,15.4195539903648,1.20936685079561e-53,3.34411922733182e-50
"12",112.761849239509,7.73117505531375,0.50192689055401,15.4029903573812,1.56272254816865e-53,3.96111097897048e-50
"13",1622.64737220395,-7.29512059151664,0.477058323686756,-15.2918840932052,8.6607832729264e-53,2.0264234216354e-49
"14",382.07193950959,9.32943467624833,0.614103161989963,15.1919665191381,3.99744929228605e-52,8.68502965167605e-49
"15",336.627955415451,-5.99119775774583,0.400163204827169,-14.9718856843258,1.12097205102111e-50,2.27310712506062e-47
"16",64.9957770666593,8.00768304718486,0.536920187866997,14.914103116511,2.66838597580379e-50,5.07276851412648e-47
"17",248.771575959503,4.78814611556911,0.322216457161129,14.8600296761836,5.98986495470536e-50,1.07172777839572e-46
"18",1614.14628501686,-8.69310009228127,0.590183238929729,-14.729493348618,4.1681903427421e-49,7.0435469808437e-46
"19",1934.61084683197,-11.5626762335852,0.794855953999704,-14.5468825834442,6.11257963368671e-48,9.7855965640973e-45
"20",175.176476477497,-6.21481912974231,0.42752589805842,-14.5367079701288,7.09222590370286e-48,1.07862117656465e-44
"21",34.3170940031681,-24.312986127777,1.68357830649435,-14.4412564797196,2.84606024486689e-47,4.12231497467219e-44
"22",316.998749623727,9.21061206437362,0.642669021694131,14.3318127270141,1.38458786254249e-46,1.91431859158886e-43
"23",754.355720756223,5.36628076943396,0.379081561194177,14.1560057749292,1.71466835022472e-45,2.26761161777327e-42
"24",18.2430655776221,4.74236996089305,0.336999915035972,14.0723179719106,5.61967682231293e-45,7.12223791267885e-42
"25",1094.97820452321,7.12744905772268,0.509383963657931,13.9922917999614,1.73722186864336e-44,2.113643103141e-41
